LOG_NO,"NOTIFIER, VENDOR",DESCRIPTION,REP_DATE,ACCESS_NO
94001,ENVIROTECH CONTROLS,FAILURE OF A PEN DRIVE SERVO MOTOR IN A WESTRONICS RECORDER DUE TO DAMAGED SHUNT LEADS DURING MANUFACTURE AND SEPARATION DURING OPERATION,12/08/1993,9312270214
94002,"GEORGIA POWER, DRESSER INDUSTRIES",ELECTRONIC NOISE FROM OPERATION OF DC MOTOR OPERATED PUMP DISCHARGE VALVES TRIPS AUXILIARY FEEDWATER PUMP,11/18/1993,9311300065
94003,ENVIROTECH CONTROLS,TEST INDICATES SUSCEPTIBILITY OF WESTRONICS SERIES 2100C RECORDERS TO INTERFERENCE FROM ELECTRIC FIELD OF 10 VOLTS PER METER,11/17/1993,9312090309
94004,"COLTEC INDUSTRIES, VIRGINIA ELECTRIC AND POWER",AIR START DISTRIBUTOR CAM CRACKING IN EMERGENCY DEISEL GENERATOR,01/07/1994,9401130243
94005,"ILLINOIS POWER, LIMITORQUE, ANCHOR/DARLING",SHEARED MOTOR PINION KEY ON HIGH PRESSURE CORE SPRAY INJECTION VALVE ACTUATOR,12/22/1993,9401050119
94006,BORG-WARNER,EVALUATION OF FRICTION FACTOR FOR 6 INCH GATE VALVE,01/06/1994,9401120259
94007,"ILLINOIS POWER, TELEMECANIQUE, ITE-GOULD",FAILURE TO TRIP OF ONE POLE ON TYPE HE MOLDED CASE CIRCUIT BREAKER,01/11/1994,9401310163
94008,"ILLINOIS POWER, WESTINGHOUSE","BROKEN, INCORRECTLY CONFIGURED, AND POORLY CONSTRUCTED PUFFER TUBE ASSEMBLIES FOR 4160 VAC CIRCUIT BREAKERS",01/07/1994,9401250026
94009,"TENNESSEE VALLEY AUTHORITY, WESTINGHOUSE",BROKEN SHAFT ON CENTRIFUGAL CHARGING PUMP PROBABLY DUE TO OPERATION UNDER GAS-BINDING CONDITIONS,01/07/1994,ml020910317
94010,WOLF CREEK NUCLEAR OPERATIONS,"POTENTIAL FOR TYPE 120 MB INDICATING LAMPS TO BLOW CONTROL POWER TRANSFORMER FUSES, RENDERING SAFETY SYSTEMS INOPERABLE",01/04/1994,ml020860707
94011,BOEING COMPUTER SERVICES,GTSTRUDL SOFTWARE ERROR,12/23/1993,9401060176
94012,"FARWELL AND HENDRICKS, TELEMECANIQUE",E20 STYLE OVERLOAD RELAYS CAN TEMPORARILY OPEN AND CLOSE WITHOUT FULLY TRIPPING DUE TO OVER CENTER TOGGLE SWITCH DESIGN,12/21/1993,9312290098
94013,"PUBLIC SERVICE ELECTRIC AND GAS, CANADA-ALLIED DIESEL",INCORRECT MATERIAL AND GEOMETRY OF EMERGENCY DEISEL GENERATOR CYLINDER INJECTION TUBE STUDS,12/13/1993,9312220220
94014,"NEW YORK POWER AUTHORITY, FISHER CONTROLS","WOODRUFF KEY MATERIAL IN TYPE 7600, 7700 , 7800, 9100, 9200,  AND 9500 BUTTERFLY VALVES",12/20/1993,9401030354
94015,"NEW YORK POWER AUTHORITY, FISHER CONTROLS",TORQUE OF CAP SCREWS ON VALVE ACTUATOR DIAPHRAGM CASINGS,12/20/1993,9401030354
94016,"NEW YORK POWER AUTHORITY, FISHER CONTROLS","POSSIBLE MISSING TAPER PINS (THREE PER VALVE) ON TYPE 7600, 7700,  7800,  9100,  9200, AND 9500 BUTTERFLY VALVES",12/20/1993,9401030354
